FECHA,TotalA,TotalB,Total,<=30A,<=30B,<=30,31-40A,31-40B,31-40,41-50A,41-50B,41-50,51-60A,51-60B,51-60,61-70A,61-70B,61-70,71-80A,71-80B,71-80,>=81A,>=81B,>=81
2021-01-31,0.00793069163356251,0.002725606262879408,0.010656297896441918,0.003646988178269107,0.0010961756941752982,0.004743163872444406,0.01882477891451361,0.006281428819143402,0.025106207733657016,0.016068726074957716,0.005809949069236788,0.021878675144194504,0.013503079327144039,0.005067867757453198,0.018570947084597236,0.0001815068493150685,0.00010273972602739727,0.00028424657534246577,9.111077703826197e-06,1.3666616555739295e-05,2.2777694259565492e-05,6.794078281369958e-06,0.0,6.794078281369958e-06
2021-02-01,0.00793069163356251,0.00321038246924386,0.01114107410280637,0.003646988178269107,0.0013174069040771414,0.004964395082346249,0.01882477891451361,0.007488728975203745,0.02631350788971736,0.016068726074957716,0.006756408514386652,0.022825134589344365,0.013503079327144039,0.005858381591445292,0.01936146091858933,0.0001815068493150685,0.0001232876712328767,0.0003047945205479452,9.111077703826197e-06,1.3666616555739295e-05,2.2777694259565492e-05,6.794078281369958e-06,0.0,6.794078281369958e-06
2021-02-02,0.008490574012743989,0.003684754357295996,0.012175328370039986,0.0037276627172182753,0.001533647936312026,0.005261310653530301,0.019370990116178256,0.00857248135945899,0.027943471475637246,0.016675490917269137,0.007653670810159914,0.02432916172742905,0.014649017985721727,0.006817415816404694,0.02146643380212642,0.002465753424657534,0.00013356164383561644,0.002599315068493151,0.0003097766419300907,1.3666616555739295e-05,0.00032344325848583,5.4352626250959663e-05,0.0,5.4352626250959663e-05
2021-02-03,0.0092559416785937,0.0040823943977948045,0.013338336076388506,0.003918952861118366,0.0017282648653234218,0.005647217726441787,0.02050026010057222,0.009480665857464887,0.029980925958037107,0.01780702535293098,0.008393970772207828,0.026200996125138806,0.016089101326715077,0.007586481600637313,0.02367558292735239,0.0044589041095890415,0.00014383561643835615,0.004602739726027397,0.000596775589600616,1.3666616555739295e-05,0.0006104422061563552,8.832301765780945e-05,0.0,8.832301765780945e-05
2021-02-04,0.009829804860507354,0.0046673121679152935,0.014497117028422647,0.004038717125125379,0.002010209903506598,0.006048927028631976,0.021317409398300676,0.010878706433154153,0.032196115831454826,0.01863634872813655,0.009572359635847386,0.02820870836398394,0.017290192113245704,0.00854245181848822,0.02583264393173392,0.005883561643835617,0.00014383561643835615,0.006027397260273973,0.0009338854646421852,1.3666616555739295e-05,0.0009475520811979245,0.00014267564390876912,0.0,0.00014267564390876912
2021-02-05,0.010744084332202081,0.0055806162347682405,0.016324700566970322,0.004306523326585504,0.0024559991084215902,0.0067625224350070946,0.022934367955609502,0.013143748916247616,0.036078116871857115,0.02000918346788363,0.011280203535635136,0.03128938700351877,0.01911634034990961,0.010056071330085486,0.029172411679995097,0.007465753424657534,0.00016095890410958903,0.007626712328767124,0.0013575505778701035,1.3666616555739295e-05,0.0013712171944258427,0.00019023419187835883,0.0,0.00019023419187835883
2021-02-06,0.01084162481638004,0.005888844164770588,0.016730468981150628,0.004327315733531166,0.0026007142607633975,0.006928029994294564,0.02310560083232183,0.013863360499393098,0.03696896133171493,0.020184887572800066,0.011917423756132074,0.03210231132893214,0.019333884854612862,0.01057695253852989,0.029910837393142754,0.00763013698630137,0.00016095890410958903,0.007791095890410959,0.0013666616555739295,1.3666616555739295e-05,0.001380328272129669,0.00019023419187835883,0.0,0.00019023419187835883
2021-02-07,0.010963550421602486,0.00609400431649156,0.017057554738094047,0.004367237154866837,0.002680557103434739,0.007047794258301577,0.023374371423617132,0.01435321657707647,0.037727588000693604,0.020426187876885306,0.012385968035909233,0.03281215591279454,0.019517725281122653,0.010910929313356008,0.03042865459447866,0.0077568493150684936,0.00016095890410958903,0.007917808219178082,0.001380328272129669,1.3666616555739295e-05,0.0013939948886854082,0.00019023419187835883,0.0,0.00019023419187835883
2021-02-08,0.011345583984632823,0.00651147758877322,0.017857061573406042,0.004483674633762544,0.002902620009614409,0.007386294643376953,0.02406580544477198,0.015350268770591296,0.03941607421536327,0.0210868353113711,0.013217634132513693,0.034304469443884794,0.02019180684499188,0.011529858749272297,0.031721665594264176,0.008414383561643835,0.00016095890410958903,0.008575342465753425,0.001475994588019844,1.3666616555739295e-05,0.0014896612045755832,0.0001970282701597288,0.0,0.0001970282701597288
2021-02-09,0.011987725505471046,0.006817104439197489,0.018804829944668533,0.004743163872444406,0.0030448400731227366,0.007788003945567142,0.025257933067452748,0.01604387029651465,0.0413018033639674,0.022063750134706482,0.01385016891021286,0.03591391904491934,0.021435793731041455,0.012075252014584674,0.03351104574562613,0.009321917808219178,0.00016438356164383562,0.009486301369863014,0.001567105365058106,1.3666616555739295e-05,0.0015807719816138452,0.00023099866156657856,0.0,0.00023099866156657856
