FECHA,TotalA,TotalB,TotalC,Total,<=30A,<=30B,<=30C,<=30,31-40A,31-40B,31-40C,31-40,41-50A,41-50B,41-50C,41-50,51-60A,51-60B,51-60C,51-60,61-70A,61-70B,61-70C,61-70,71-80A,71-80B,71-80C,71-80,81-90C,>=91C,>=81A,>=81B,>=81
2021-06-10,0.3629565951348107,0.09497516944407776,0,0.45793176457888846,0.05737040924447047,0.017526335662637376,0,0.07489674490710785,0.24946462632217792,0.09846540662389457,0,0.3479300329460725,0.30426328440169237,0.0951379160087524,0,0.3994012004104448,0.6398964365597328,0.10094065018230843,0,0.7408370867420413,0.8681643835616438,0.09694520547945205,0,0.9651095890410959,0.9538478358912684,0.2893040503295932,0,1.2431518862208617,0,0,0.8876327393044222,0.4092820697480076,1.2969148090524298
2021-06-11,0.36473280735169133,0.1015350921399927,0,0.466267899491684,0.05770308775560106,0.01756043521002826,0,0.07526352296562933,0.2509970521935148,0.09862363447199583,0,0.34962068666551066,0.3074470427827782,0.09526910840709,0,0.4027161511898682,0.6484909764990655,0.10117045071544566,0,0.7496614272145111,0.8685958904109589,0.09783219178082192,0,0.9664280821917808,0.9540118352899373,0.30001412217044093,0,1.2540259574603783,0,0,0.8878365616528634,0.5269622996596167,1.41479886131248
2021-06-12,0.3684803127538085,0.10241198109275254,0,0.470892293846561,0.05856472509942929,0.01756376199513957,0,0.07612848709456886,0.25406190393618866,0.09863447199583839,0,0.3526963759320271,0.3142479630037437,0.09529487834247775,0,0.40954284134622143,0.6671201397187242,0.10128381897846003,0,0.7684039586971841,0.8687842465753425,0.09809931506849315,0,0.9668835616438356,0.9541166126835313,0.3019137818716887,0,1.25603039455522,0,0,0.8879384728270839,0.5415355975731553,1.429474070400239
2021-06-13,0.3712137222554221,0.10245229782621278,0,0.4736660200816349,0.058948137083507296,0.01756376199513957,0,0.07651189907864686,0.25539925437835964,0.09864530951968094,0,0.35404456389804057,0.3186241665768623,0.09530190650667442,0,0.41392607308353674,0.6835585378558078,0.10128688298556852,0,0.7848454208413763,0.8690342465753425,0.09811643835616439,0,0.9671506849315068,0.9541895013051619,0.30198211495446736,0,1.2561716162596293,0,0,0.8879860313750535,0.5421810350098853,1.4301670663849388
2021-06-14,0.3751198935118021,0.10271825821307133,0,0.47783815172487343,0.06027552434291836,0.017572910654195657,0,0.07784843499711401,0.2599423443731576,0.09867348708167158,0,0.3586158314548292,0.32493077258266295,0.09533939004905659,0,0.4202701626317195,0.7003370407819346,0.10132058706376199,0,0.8016576278456966,0.8693664383561643,0.09818835616438357,0,0.9675547945205479,0.9543443896261269,0.30246500207277016,0,1.2568093916988972,0,0,0.888142295175525,0.5465292451099621,1.4346715402854873
2021-06-15,0.38366834154515833,0.10318157551291664,0,0.48684991705807495,0.06050174573048716,0.017607010201586545,0,0.0781087559320737,0.2608852089474597,0.09881870990116179,0,0.35970391884862146,0.3269337993787103,0.09544715523340533,0,0.4223809546121156,0.7743083003952569,0.1014860434476208,0,0.8757943438428777,0.8706883561643836,0.0983904109589041,0,0.9690787671232877,0.9548454988998374,0.3040503295932359,0,1.2588958284930734,0,0,0.8887673503774111,0.5520324485178718,1.440799798895283
2021-06-16,0.38632729514384945,0.10635619313796191,0,0.49268348828181135,0.06109391348029961,0.017913074431826687,0,0.07900698791212629,0.26372897520374544,0.10009970521935148,0,0.3638286804230969,0.3329241379956613,0.09861685728609783,0,0.4315409952817591,0.7846125563011306,0.10437846615804149,0,0.888991022459172,0.8711198630136986,0.09926712328767123,0,0.9703869863013699,0.9551006090755445,0.3250468081617034,0,1.280147417237248,0,0,0.8891206424480422,0.5631951191341626,1.4523157615822049
2021-06-17,0.39162471883955435,0.10949211970428327,0,0.5011168385438376,0.06146235493137674,0.017955490941995837,0,0.07941784587337258,0.2654608115137853,0.10030561817235997,0,0.3657664296861453,0.34672042431369976,0.09942041072591565,0,0.44614083503961544,0.8102215277139443,0.10482887520299047,0,0.9150504029169347,0.873,0.10156849315068493,0,0.974568493150685,0.9558067175975911,0.3554413633816676,0,1.3112480809792586,0,0,0.8898000502761793,0.5745072594726437,1.4643073097488228
2021-06-18,0.4005012280346958,0.11029715383369867,0,0.5107983818683944,0.0627015823853382,0.017974619956385846,0,0.08067620234172404,0.27014045430899947,0.10041616091555401,0,0.3705566152245535,0.38511294259864026,0.09961017115922541,0,0.4847231137578657,0.8300272696632656,0.10501884364371725,0,0.9350461133069828,0.8749520547945205,0.10288698630136986,0,0.9778390410958904,0.9564262708814512,0.36071212183333107,0,1.3171383927147822,0,0,0.890438693634628,0.5793786136003859,1.469817307235014
2021-06-19,0.4073732802799802,0.1106590290299989,0,0.5180323093099791,0.06312824257586318,0.01798293691916411,0,0.08111117949502729,0.2709836136639501,0.10044867348708167,0,0.3714322871510317,0.4243277560945897,0.099659368308602,0,0.5239871244031917,0.838873058185495,0.10509237981432117,0,0.9439654379998161,0.8765068493150685,0.10317123287671233,0,0.9796780821917809,0.9569000469220502,0.3616915626864924,0,1.3185916096085426,0,0,0.8907783975486966,0.5844402019200066,1.475218599468703
