FECHA,<=30M,<=30F,<=30,31-40M,31-40F,31-40,41-50M,41-50F,41-50,51-60M,51-60F,51-60,61-70M,61-70F,61-70,71-80M,71-80F,71-80,81-90M,81-90F,81-90,>=91M,>=91F,>=91,TotalM,TotalF,Total,DelayCount,CumDelay,DelayAvg
2020-11-22,0,0,0,0,0,0,0,0,0,1,0,1,2,0,2,1,2,3,1,1,2,0,1,1,5,4,9,8,108,13.5
2020-11-23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,4,0,2,2,0,1,1,2,5,7,6,58,9.666666666666666
2020-11-24,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,1,0,1,2,0,2,0,1,1,5,1,6,5,78,15.6
2020-11-25,0,0,0,0,0,0,2,0,2,0,0,0,1,1,2,1,1,2,2,1,3,0,1,1,6,4,10,9,140,15.555555555555555
2020-11-26,1,0,1,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,1,1,2,5,1,6,6,117,19.5
2020-11-27,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,1,2,3,0,0,0,1,2,3,4,4,8,7,62,8.857142857142858
2020-11-28,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,1,1,1,1,2,0,0,0,3,2,5,5,96,19.2
2020-11-29,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,1,1,1,0,1,3,1,4,4,44,11.0
2020-11-30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,1,1,0,1,1,1,3,4,4,42,10.5
2020-12-01,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,1,1,1,0,1,0,0,0,2,2,4,3,32,10.666666666666666
2020-12-02,0,0,0,0,0,0,0,0,0,0,0,0,2,2,4,0,2,2,1,2,3,0,5,5,3,11,14,14,132,9.428571428571429
2020-12-03,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,1,2,3,2,0,2,0,0,0,5,2,7,7,164,23.428571428571427
